record_id,user_id,message,campaign,timestamp
8f3a99d9-1c7a-47fc-8b29-e51197f321b4,user_27,,,2025-11-03 22:34:41.495680
734ed260-c91d-44b1-8df3-8ae7b8cc0fea,user_113,Requesting personalized recommendations,Product_Recommendation,2025-11-03 22:49:41.495810
fdf02209-bb44-4ae2-a456-506c6191e5ca,user_640,Just browsing offers,Festive_Sale,2025-11-03 23:34:41.496560
d2417878-745e-4eb9-9afb-ea6d8f9a75ac,user_803,Just browsing offers,Seasonal_Promo,2025-11-04 02:29:41.496789
8273bf01-6a1a-41df-b14d-8ba05fc42d47,user_356,,,2025-11-04 02:37:41.496169
de6e6ec6-87dd-4df6-8117-8c948625e22a,user_44,Exploring premium features,New_User_Welcome,2025-11-04 04:09:41.495721
a5fcd576-4bc2-4b41-8881-e132f1fea7b5,user_150,,,2025-11-04 08:44:41.495859
c873088e-4ea8-43bf-873a-190582aa9412,user_25,,,2025-11-04 09:31:41.495678
c44903a9-45b6-4c69-9cff-1b49b3e8251e,user_194,Looking for discounts,Seasonal_Promo,2025-11-04 15:10:41.495948
f1d6ae85-9ac1-4db9-b35b-3e93d28db6d8,user_437,,,2025-11-04 17:45:41.496279
339778f6-8fc6-4f18-bd78-2917b8b84174,user_343,Requesting personalized recommendations,Product_Recommendation,2025-11-04 17:47:41.496151
4cffefde-49ed-48aa-a49e-1089695c56b4,user_381,Just browsing offers,Festive_Sale,2025-11-04 20:32:41.496203
49559c0b-b125-4d66-ba76-399efa14211e,user_461,,,2025-11-04 23:03:41.496311
f724f10c-5ed7-4a79-bda5-a84b21b39fc9,user_308,Requesting personalized recommendations,Product_Recommendation,2025-11-05 00:57:41.496104
e4abdbcb-54b2-4bbb-bb3c-403389b9c054,user_776,Feedback on recent campaign,New_User_Welcome,2025-11-05 06:36:41.496746
4595af14-e08e-4595-815f-65b33e0262db,user_617,Need support with recent purchase,,2025-11-05 07:13:41.496531
4bb2f48a-b45f-42f7-9589-0ccb7eee327a,user_938,Asking about subscription plans,Festive_Sale,2025-11-05 08:35:41.496959
064bd168-843c-4e44-a715-89cedae1ca10,user_630,Feedback on recent campaign,New_User_Welcome,2025-11-05 08:44:41.496547
f6b3ba7e-ae63-4a32-9778-1bb8ac93b41d,user_630,Added item to wishlist,Wishlist_Nudge,2025-11-05 09:46:41.496547
693d0503-db54-4243-9f13-bd54ecd77010,user_503,Requesting personalized recommendations,Product_Recommendation,2025-11-05 10:53:41.496368
a4482238-b20f-4884-a97b-85178baf34b6,user_832,Looking for discounts,Seasonal_Promo,2025-11-05 14:41:41.496826
e70a3509-e6f7-45e3-80ee-a56eb32a701c,user_886,Requesting personalized recommendations,Product_Recommendation,2025-11-05 16:32:41.496896
3fc00baf-87d0-49e2-9ae0-d6c04bd6b89c,user_795,Asking about subscription plans,Festive_Sale,2025-11-05 17:00:41.496779
16052f9b-006e-4ca7-8510-29fe1780ad90,user_912,Need support with recent purchase,New_User_Welcome,2025-11-05 18:17:41.496927
42007d03-a395-4638-8a63-134a5ad87feb,user_826,Exploring premium features,Festive_Sale,2025-11-05 20:23:41.496819
bedce45c-17aa-43db-92a7-ca8cd3bfd397,user_826,Clicked on product recommendation,Product_Recommendation,2025-11-05 21:35:41.496819
1096347c-3a14-4c9e-834c-227c05a52a23,user_826,Clicked on product recommendation,Product_Recommendation,2025-11-05 21:54:41.496819
f3926f64-b3aa-41fb-831d-3e5f2b6a5576,user_413,Feedback on recent campaign,Festive_Sale,2025-11-05 22:54:41.496246
0578bcbf-811b-4405-8fd3-9e9276f3b7ac,user_563,Looking for discounts,Seasonal_Promo,2025-11-05 23:40:41.496459
4977663f-095c-4cc0-b56b-446664d20603,user_826,Returned to app after notification,Reengagement_Push,2025-11-05 23:48:41.496819
3b5efcb8-c16c-47c0-b921-5636697db6f7,user_563,Returned to app after notification,Reengagement_Push,2025-11-05 23:54:41.496459
012e038f-93d5-4861-b67c-6db7dbc40cfd,user_563,,,2025-11-06 00:22:41.496459
5981782b-d0ee-4290-8859-eef0e50f58b6,user_563,Opened promotional email,Festive_Sale,2025-11-06 00:31:41.496459
5cf8e94d-dddd-462f-b867-7d2dd8917b67,user_905,Requesting personalized recommendations,,2025-11-06 02:39:41.496919
7b997717-04a3-4a73-8061-70d45e79a79f,user_679,Feedback on recent campaign,,2025-11-06 11:09:41.496607
2050255c-1f09-49cf-9ac6-909a14829224,user_41,Asking about subscription plans,Festive_Sale,2025-11-06 14:46:41.495717
231329fd-33d5-4acc-be66-b1d3399ca613,user_719,Need support with recent purchase,Festive_Sale,2025-11-06 16:19:41.496659
d237b09e-e4a1-41ce-84a9-d1a00bfb8859,user_862,Need support with recent purchase,Festive_Sale,2025-11-06 18:27:41.496865
937797ec-8325-4cda-a98f-36e08fb1119a,user_691,Just browsing offers,New_User_Welcome,2025-11-06 19:13:41.496623
